Device	Parameter	Preset1 example	Min	Max	Enum
Feedback Network	modIn-3	0.		157.0	
Feedback Network	modIn-1	0.		157.0	
Feedback Network	RandSmooth	1.		1.0	0 | 1
Feedback Network	wet/dry	1.		1.0	
Feedback Network	FB-level	0.			
Feedback Network	modIn-4	0.		157.0	
Feedback Network	AFB-Sens	62.992001			
Feedback Network	GL-Delay	58.928001			
Feedback Network	GL-Freq	47.751999			
Feedback Network	modIn-5	0.		157.0	
Feedback Network	AFB-Rate	94.487999			
Feedback Network	modIn-2	0.		157.0	
Feedback Network	AutoNetRate	87.375999			
Feedback Network	Auto-FB	1.		1.0	Off | On
Feedback Network	randTrig			1.0	off | on
Feedback Network	InLevelMinMax	0			
Feedback Network	GL-Q	35.560001			
Feedback Network	AFB-Clip	71.120003			
Feedback Network	FB-Gain	0			
Feedback Network	AutoGainRate	99.568001			
Feedback Network	AutoRandNetwork	1.		1.0	0 | 1
Feedback Network	RandInLevels	1.		1.0	0 | 1
FilterTaps	delay_rel3	288.	1.0	5000.0	
FilterTaps	[40]	1530.	1.0	5000.0	
FilterTaps	pitch5	15.			
FilterTaps	global_delay_scale	10.	1.0	10.0	
FilterTaps	delay_rel4	7.	1.0	5000.0	
FilterTaps	[5]	43.991199	1.0	5000.0	
FilterTaps	pitch3	10.			
FilterTaps	pitch6	3.			
FilterTaps	gain5	127.	1.0	300.0	
FilterTaps	global_q	0.39		1.0	
FilterTaps	pan4	-38.	-127.0		
FilterTaps	pitch4	0.			
FilterTaps	gain3	127.	1.0	300.0	
FilterTaps	pan6	-74.	-127.0		
FilterTaps	fb_gain	0.		1.0	
FilterTaps	[35]	2879.42407	1.0	5000.0	
FilterTaps	gain[5]	127.	1.0	300.0	
FilterTaps	pan3	46.	-127.0		
FilterTaps	[23]	127.	1.0	300.0	
FilterTaps	[2]	19.25943		20000.0	
FilterTaps	[18]	19.	1.0	5000.0	
FilterTaps	dry/wet	100.		100.0	
FilterTaps	[32]	22.811558		20000.0	
FilterTaps	delay_rel6	1.	1.0	5000.0	
FilterTaps	[26]	213.411331		20000.0	
FilterTaps	[38]	153.	1.0	5000.0	
FilterTaps	global_freq_scale	80.	1.0	100.0	
