Device	Receive object	Local message	OSC-style message
Feedback Network	r feedbacknetwork	preset 1	/feedbacknetwork/preset 1
FilterTaps	r filtertaps	preset 1	/filtertaps/preset 1
Flange-o-tron	r flangeotron	preset 1	/flangeotron/preset 1
Fragulator	r fragulator	preset 1	/fragulator/preset 1
Generic Effect	r genericeffect	preset 1	/genericeffect/preset 1
Granular-to-go	r granulartogo	preset 1	/granulartogo/preset 1
Harmonic Filter	r harmonicfilter	preset 1	/harmonicfilter/preset 1
Mangle Filter	r manglefilter	preset 1	/manglefilter/preset 1
Max AutoFilter	r maxautofilter	preset 1	/maxautofilter/preset 1
Max AutoRingMod	r maxautoringmod	preset 1	/maxautoringmod/preset 1
Max CombFilterMulti	r maxcombfiltermulti	preset 1	/maxcombfiltermulti/preset 1
Max Compressor	r maxcompressor	preset 1	/maxcompressor/preset 1
Max CutKiller	r maxcutkiller	preset 1	/maxcutkiller/preset 1
Max DelayMultiBand	r maxdelaymultiband	preset 1	/maxdelaymultiband/preset 1
Max DelayTaps	r maxdelaytaps	preset 1	/maxdelaytaps/preset 1
Max DopplerPan	r maxdopplerpan	preset 1	/maxdopplerpan/preset 1
Max EffectMatrix	r maxeffectmatrix	preset 1	/maxeffectmatrix/preset 1
Max EnvFollower	r maxenvfollower	preset 1	/maxenvfollower/preset 1
Max EqGraphic31	r maxeqgraphic31	preset 1	/maxeqgraphic31/preset 1
Max EqParametric4	r maxeqparametric4	preset 1	/maxeqparametric4/preset 1
Max EqShelving	r maxeqshelving	preset 1	/maxeqshelving/preset 1
Max SignalAnalyzer	r maxsignalanalyzer	preset 1	/maxsignalanalyzer/preset 1
Max SpectralDelay	r maxspectraldelay	preset 1	/maxspectraldelay/preset 1
Max SpectralHarm	r maxspectralharm	preset 1	/maxspectralharm/preset 1
Microtuner	r microtuner	preset 1	/microtuner/preset 1
Mono Vocoder	r monovocoder	preset 1	/monovocoder/preset 1
MonsterCrunch	r monstercrunch	preset 1	/monstercrunch/preset 1
Multi Harmonizer	r multiharmonizer	preset 1	/multiharmonizer/preset 1
Nebula	r nebula	preset 1	/nebula/preset 1
Noyzckippr	r noyzckippr	preset 1	/noyzckippr/preset 1
Pendulum	r pendulum	preset 1	/pendulum/preset 1
Phase Scope	r phasescope	preset 1	/phasescope/preset 1
Phone Filter	r phonefilter	preset 1	/phonefilter/preset 1
Pitch & Echo	r pitchecho	preset 1	/pitchecho/preset 1
Pitch & Vibrato	r pitchvibrato	preset 1	/pitchvibrato/preset 1
Pitch Tracker	r pitchtracker	preset 1	/pitchtracker/preset 1
PitchCorrect Player	r pitchcorrectplayer	preset 1	/pitchcorrectplayer/preset 1
PitchTime Player	r pitchtimeplayer	preset 1	/pitchtimeplayer/preset 1
PluggoFuzz	r pluggofuzz	preset 1	/pluggofuzz/preset 1
Poly Vocoder	r polyvocoder	preset 1	/polyvocoder/preset 1
Raindrops	r raindrops	preset 1	/raindrops/preset 1
Rye	r rye	preset 1	/rye/preset 1
Simple Pitch Shifter	r simplepitchshifter	preset 1	/simplepitchshifter/preset 1
Space Echo	r spaceecho	preset 1	/spaceecho/preset 1
Spectral Filter	r spectralfilter	preset 1	/spectralfilter/preset 1
Speed Shifter	r speedshifter	preset 1	/speedshifter/preset 1
SquirrelParade	r squirrelparade	preset 1	/squirrelparade/preset 1
Stereo Adjuster	r stereoadjuster	preset 1	/stereoadjuster/preset 1
Stutterer	r stutterer	preset 1	/stutterer/preset 1
Swirl	r swirl	preset 1	/swirl/preset 1
Synced Player	r syncedplayer	preset 1	/syncedplayer/preset 1
Tapped Delay	r tappeddelay	preset 1	/tappeddelay/preset 1
Tremellow	r tremellow	preset 1	/tremellow/preset 1
Vibrato Cauldron	r vibratocauldron	preset 1	/vibratocauldron/preset 1
Warpoon	r warpoon	preset 1	/warpoon/preset 1
WasteBand	r wasteband	preset 1	/wasteband/preset 1
Waveshaper	r waveshaper	preset 1	/waveshaper/preset 1
Wheat	r wheat	preset 1	/wheat/preset 1
Xformer	r xformer	preset 1	/xformer/preset 1
