Device	Parameter object	Source dictionary name	Parameter long name	Parameter short name	Varname	Type	Dictionary=longname	Min	Max	Steps
Feedback Network	obj-46	modIn-3	modIn-3	in 3	live.slider[2]	0	True	0.0	157.0	
Feedback Network	obj-34	modIn-1	modIn-1	in 1	live.slider	0	True	0.0	157.0	
Feedback Network	obj-23	RandSmooth	RandSmooth	Smooth	live.text[2]	2	True	0	1	
Feedback Network	obj-2	wet/dry	wet/dry	dry/wet	Wet/Dry	0	True	0.0	1.0	
Feedback Network	obj-176	FB-level	FB-level	FB-Level	live.dial[4]	0	True			
Feedback Network	obj-53	modIn-4	modIn-4	in 4	live.slider[3]	0	True	0.0	157.0	
Feedback Network	obj-169	AFB-Sens	AFB-Sens	Sens	live.dial[2]	0	True			
Feedback Network	obj-30	GL-Delay	GL-Delay	Delay	live.dial[8]	0	True			
Feedback Network	obj-28	GL-Freq	GL-Freq	Freq	live.dial[6]	0	True			
Feedback Network	obj-72	modIn-5	modIn-5	in 5	live.slider[4]	0	True	0.0	157.0	
Feedback Network	obj-144	AFB-Rate	AFB-Rate	Rate	live.dial	0	True			
Feedback Network	obj-42	modIn-2	modIn-2	in 2	live.slider[1]	0	True	0.0	157.0	
Feedback Network	obj-48	AutoNetRate	AutoNetRate	N Rate	live.dial[9]	0	True			
Feedback Network	obj-177	Auto-FB	Auto-FB	Auto FB	live.text	2	True	0	1	
Feedback Network	obj-60	randTrig	randTrig	randTrig	randTrig	2	True	0	1	
Feedback Network	obj-56	InLevelMinMax	InLevelMinMax	InLevelMinMax	InLevelMinMax	3	True			
Feedback Network	obj-29	GL-Q	GL-Q	Q	live.dial[7]	0	True			
Feedback Network	obj-24	AFB-Clip	AFB-Clip	Clipping	live.dial[5]	0	True			
Feedback Network	obj-175	FB-Gain	FB-Gain	Gain	live.dial[3]	0	True			
Feedback Network	obj-146	AutoGainRate	AutoGainRate	G Rate	live.dial[1]	0	True			
Feedback Network	obj-49	AutoRandNetwork	AutoRandNetwork	AutoNet	live.text[3]	2	True	0	1	
Feedback Network	obj-8	RandInLevels	RandInLevels	RandIns	live.text[1]	2	True	0	1	
FilterTaps	obj-128::obj-56	delay_rel3	delay_rel3	delay_relative	delay_relative[2]	0	True	1.0	5000.0	
FilterTaps	obj-151	[40]	[40]	time_absolute	time_absolute	0	True	1.0	5000.0	
FilterTaps	obj-128::obj-104	pitch5	pitch5	pitch	pitch[4]	0	True			
FilterTaps	obj-146	global_delay_scale	global_delay_scale	global_delay_scale	global_delay_scale	0	True	1.0	10.0	
FilterTaps	obj-128::obj-131	delay_rel4	delay_rel4	delay_relative	delay_relative[5]	0	True	1.0	5000.0	
FilterTaps	obj-128::obj-55	[5]	[5]	absolute_delay	absolute_delay[2]	0	True	1.0	5000.0	
FilterTaps	obj-128::obj-54	pitch3	pitch3	pitch	pitch[2]	0	True			
FilterTaps	obj-128::obj-79	pitch6	pitch6	pitch	pitch[3]	0	True			
FilterTaps	obj-128::obj-102	gain5	gain5	gain	gain[4]	0	True	1.0	300.0	
FilterTaps	obj-148	global_q	global_q	global_q	global_q	0	True	0.0	1.0	
FilterTaps	obj-128::obj-126	pan4	pan4	pan	pan[5]	0	True	-127.0		
FilterTaps	obj-128::obj-129	pitch4	pitch4	pitch	pitch[5]	0	True			
FilterTaps	obj-128::obj-52	gain3	gain3	gain	gain[2]	0	True	1.0	300.0	
FilterTaps	obj-128::obj-76	pan6	pan6	pan	pan[3]	0	True	-127.0		
FilterTaps	obj-152	fb_gain	fb_gain	feedback_gain	feedback_gain	0	True	0.0	1.0	
FilterTaps	obj-128::obj-105	[35]	[35]	absolute_delay	absolute_delay[4]	0	True	1.0	5000.0	
FilterTaps	obj-128::obj-127	gain[5]	gain[5]	gain	gain[5]	0	True	1.0	300.0	
FilterTaps	obj-128::obj-51	pan3	pan3	pan	pan[2]	0	True	-127.0		
FilterTaps	obj-128::obj-16	[23]	[23]	gain	gain	0	True	1.0	300.0	
FilterTaps	obj-128::obj-15	[2]	[2]	freq	freq	0	True	0.0	20000.0	
FilterTaps	obj-128::obj-12	[18]	[18]	delay_relative	delay_relative	0	True	1.0	5000.0	
FilterTaps	obj-79	dry/wet	dry/wet	dry/wet	dry/wet	1	True	0	100	
FilterTaps	obj-128::obj-78	[32]	[32]	freq	freq[3]	0	True	0.0	20000.0	
