Device	Parameters	Float tuners	Int tuners	Enum tuners	Non-numeric/reference-only
Feedback Network	22	16	0	5	1
FilterTaps	44	43	1	0	0
Flange-o-tron	11	2	2	5	2
Fragulator	9	5	2	2	0
Generic Effect	10	10	0	0	0
Granular-to-go	13	7	3	3	0
Harmonic Filter	51	14	0	37	0
Mangle Filter	8	5	0	3	0
Max AutoFilter	14	10	0	4	0
Max AutoRingMod	10	8	0	2	0
Max CombFilterMulti	16	16	0	0	0
Max Compressor	23	2	11	10	0
Max CutKiller	41	4	11	26	0
Max DelayMultiBand	19	16	0	3	0
Max DelayTaps	19	15	1	0	3
Max DopplerPan	10	6	1	3	0
Max EffectMatrix	15	13	0	1	1
Max EnvFollower	8	6	0	2	0
Max EqGraphic31	34	33	0	1	0
Max EqParametric4	23	13	0	10	0
Max EqShelving	9	6	0	3	0
Max SignalAnalyzer	2	2	0	0	0
Max SpectralDelay	10	4	2	2	2
Max SpectralHarm	17	13	4	0	0
Microtuner	18	6	2	8	2
Mono Vocoder	14	8	1	5	0
MonsterCrunch	11	7	4	0	0
Multi Harmonizer	23	10	0	11	2
Nebula	5	1	2	2	0
Noyzckippr	11	10	0	1	0
Pendulum	10	10	0	0	0
Phase Scope	0	0	0	0	0
Phone Filter	4	4	0	0	0
Pitch & Echo	19	10	0	9	0
Pitch & Vibrato	14	8	0	6	0
Pitch Tracker	16	6	1	9	0
PitchCorrect Player	21	5	0	12	4
PitchTime Player	25	6	0	15	4
PluggoFuzz	12	9	0	3	0
Poly Vocoder	20	10	0	8	2
Raindrops	8	8	0	0	0
Rye	8	7	1	0	0
Simple Pitch Shifter	6	4	0	2	0
Space Echo	13	9	2	2	0
Spectral Filter	3	1	0	1	1
Speed Shifter	8	8	0	0	0
SquirrelParade	36	19	0	1	16
Stereo Adjuster	1	1	0	0	0
Stutterer	16	0	4	7	5
Swirl	10	10	0	0	0
Synced Player	30	5	3	18	4
Tapped Delay	10	3	0	5	2
Tremellow	13	3	0	1	9
Vibrato Cauldron	7	6	1	0	0
Warpoon	15	13	1	1	0
WasteBand	16	16	0	0	0
Waveshaper	5	0	0	4	1
Wheat	17	10	1	4	2
Xformer	8	4	1	1	2
