device	help_file	subtitle	category	unique_parameter_annotations	example_source
Feedback Network.amxd	Feedback Network.maxhelp	Randomized Feedback / Distortion	feedback	16	MUTED (default) / Noise / drumLoop.aif / receive~
FilterTaps.amxd	FilterTaps.maxhelp	Filtered Multi-Tap Delay	delay	8	MUTED (default) / Noise / drumLoop.aif / receive~
Flange-o-tron.amxd	Flange-o-tron.maxhelp	Sequenced Flanger	delay	10	MUTED (default) / Noise / drumLoop.aif / receive~
Fragulator.amxd	Fragulator.maxhelp	Fragment / Stutter Processor	granular	9	MUTED (default) / Noise / drumLoop.aif / receive~
Generic Effect.amxd	Generic Effect.maxhelp	Modulated Comb Filter	delay	10	MUTED (default) / Noise / drumLoop.aif / receive~
Granular-to-go.amxd	Granular-to-go.maxhelp	Granular Processor	granular	13	MUTED (default) / Noise / drumLoop.aif / receive~
Harmonic Filter.amxd	Harmonic Filter.maxhelp	Cellular Automata Filter Effect	filter	23	MUTED (default) / Noise / drumLoop.aif / receive~
Mangle Filter.amxd	Mangle Filter.maxhelp	Envelope-Driven Delay / Distortion	filter	8	MUTED (default) / Noise / drumLoop.aif / receive~
Max AutoFilter.amxd	Max AutoFilter.maxhelp	Envelope-Controlled Filter	filter	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max AutoRingMod.amxd	Max AutoRingMod.maxhelp	Envelope-Controlled Ring Modulator	modulation	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max CombFilterMulti.amxd	Max CombFilterMulti.maxhelp	Five-Voice Comb Filter	filter	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max Compressor.amxd	Max Compressor.maxhelp	Stereo Dynamics Processor	dynamics	21	MUTED (default) / Noise / drumLoop.aif / receive~
Max CutKiller.amxd	Max CutKiller.maxhelp	Probabilistic Rhythmic Gate	gating	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max DelayMultiBand.amxd	Max DelayMultiBand.maxhelp	Three-Band Delay	delay	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max DelayTaps.amxd	Max DelayTaps.maxhelp	32-Tap Delay	delay	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max DopplerPan.amxd	Max DopplerPan.maxhelp	Tempo-Synced Doppler / Pan	spatial	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max EffectMatrix.amxd	Max EffectMatrix.maxhelp	Effect Routing Matrix	routing	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max EnvFollower.amxd	Max EnvFollower.maxhelp	Envelope Analysis / Mapping	analysis	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max EqGraphic31.amxd	Max EqGraphic31.maxhelp	31-Band Graphic EQ	filter	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max EqParametric4.amxd	Max EqParametric4.maxhelp	Four-Band Parametric EQ	filter	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max EqShelving.amxd	Max EqShelving.maxhelp	Three-Band Shelving EQ	filter	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max SignalAnalyzer.amxd	Max SignalAnalyzer.maxhelp	Resonant-Bank Spectrum Analyzer	analysis	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max SpectralDelay.amxd	Max SpectralDelay.maxhelp	Spectral / FFT Delay	spectral	0	MUTED (default) / Noise / drumLoop.aif / receive~
Max SpectralHarm.amxd	Max SpectralHarm.maxhelp	Spectral Harmonizer	spectral	0	MUTED (default) / Noise / drumLoop.aif / receive~
Microtuner.amxd	Microtuner.maxhelp	Microtonal Pitch Corrector	pitch	16	MUTED (default) / Noise / drumLoop.aif / receive~
Mono Vocoder.amxd	Mono Vocoder.maxhelp	Monophonic Retune Vocoder	pitch	14	MUTED (default) / Noise / drumLoop.aif / receive~
MonsterCrunch.amxd	MonsterCrunch.maxhelp	Clipping / Low-Pass Distortion	distortion	10	MUTED (default) / Noise / drumLoop.aif / receive~
Multi Harmonizer.amxd	Multi Harmonizer.maxhelp	Polyphonic Pitch Harmonizer	pitch	22	MUTED (default) / Noise / drumLoop.aif / receive~
Nebula.amxd	Nebula.maxhelp	Stereo Spatialization	spatial	5	MUTED (default) / Noise / drumLoop.aif / receive~
Noyzckippr.amxd	Noyzckippr.maxhelp	Filtered-Noise Modulation	modulation	6	MUTED (default) / Noise / drumLoop.aif / receive~
Pendulum.amxd	Pendulum.maxhelp	Modulated Four-Tap Delay	delay	10	MUTED (default) / Noise / drumLoop.aif / receive~
Phase Scope.amxd	Phase Scope.maxhelp	Stereo Phase Analyzer	analysis	1	MUTED (default) / Noise / drumLoop.aif / receive~
Phone Filter.amxd	Phone Filter.maxhelp	Telephone / Band-Limited Filter	filter	4	MUTED (default) / Noise / drumLoop.aif / receive~
Pitch & Echo.amxd	Pitch & Echo.maxhelp	Feedback Pitch-Shift Delay	pitch	19	MUTED (default) / Noise / drumLoop.aif / receive~
Pitch & Vibrato.amxd	Pitch & Vibrato.maxhelp	Pitch Shift + Vibrato	pitch	14	MUTED (default) / Noise / drumLoop.aif / receive~
Pitch Tracker.amxd	Pitch Tracker.maxhelp	Monophonic Pitch Analysis	analysis	16	MUTED (default) / Noise / drumLoop.aif / receive~
PitchCorrect Player.amxd	PitchCorrect Player.maxhelp	Pitch/Formant-Correcting Player	player	18	MUTED (default) / Noise / drumLoop.aif / receive~
PitchTime Player.amxd	PitchTime Player.maxhelp	Time/Pitch-Correcting Player	player	23	MUTED (default) / Noise / drumLoop.aif / receive~
PluggoFuzz.amxd	PluggoFuzz.maxhelp	Filtered Fuzz / Distortion	distortion	11	MUTED (default) / Noise / drumLoop.aif / receive~
Poly Vocoder.amxd	Poly Vocoder.maxhelp	Polyphonic Retune Vocoder	pitch	19	MUTED (default) / Noise / drumLoop.aif / receive~
Raindrops.amxd	Raindrops.maxhelp	Resonant Particle Filter	filter	8	MUTED (default) / Noise / drumLoop.aif / receive~
Rye.amxd	Rye.maxhelp	Granular / Doppler Pitch Shift	granular	8	MUTED (default) / Noise / drumLoop.aif / receive~
Simple Pitch Shifter.amxd	Simple Pitch Shifter.maxhelp	Stereo Pitch Shifter	pitch	6	MUTED (default) / Noise / drumLoop.aif / receive~
Space Echo.amxd	Space Echo.maxhelp	Tape-Style Echo / Reverb	delay	11	MUTED (default) / Noise / drumLoop.aif / receive~
Spectral Filter.amxd	Spectral Filter.maxhelp	FFT Spectral Filter	spectral	2	MUTED (default) / Noise / drumLoop.aif / receive~
Speed Shifter.amxd	Speed Shifter.maxhelp	Tape-Style Dual Delay	delay	8	MUTED (default) / Noise / drumLoop.aif / receive~
SquirrelParade.amxd	SquirrelParade.maxhelp	Granular Cross-Modulation	granular	12	MUTED (default) / Noise / drumLoop.aif / receive~
Stereo Adjuster.amxd	Stereo Adjuster.maxhelp	Stereo Width Utility	spatial	1	MUTED (default) / Noise / drumLoop.aif / receive~
Stutterer.amxd	Stutterer.maxhelp	Fragment / Stutter Effect	granular	1	MUTED (default) / Noise / drumLoop.aif / receive~
Swirl.amxd	Swirl.maxhelp	Delay-Based Stereo Panning	spatial	6	MUTED (default) / Noise / drumLoop.aif / receive~
Synced Player.amxd	Synced Player.maxhelp	Transport-Synced Sample Player	player	26	MUTED (default) / Noise / drumLoop.aif / receive~
Tapped Delay.amxd	Tapped Delay.maxhelp	16-Tap Stereo Delay	delay	7	MUTED (default) / Noise / drumLoop.aif / receive~
Tremellow.amxd	Tremellow.maxhelp	Stereo Panning / Tremolo	modulation	4	MUTED (default) / Noise / drumLoop.aif / receive~
Vibrato Cauldron.amxd	Vibrato Cauldron.maxhelp	Random Allpass Pitch Modulation	pitch	7	MUTED (default) / Noise / drumLoop.aif / receive~
Warpoon.amxd	Warpoon.maxhelp	Multi-Tap Ambient Chorus	delay	6	MUTED (default) / Noise / drumLoop.aif / receive~
WasteBand.amxd	WasteBand.maxhelp	Three-Band Filtered Distortion	distortion	14	MUTED (default) / Noise / drumLoop.aif / receive~
Waveshaper.amxd	Waveshaper.maxhelp	Transfer-Curve Distortion	distortion	5	MUTED (default) / Noise / drumLoop.aif / receive~
Wheat.amxd	Wheat.maxhelp	Granular Pitch Shifter	granular	16	MUTED (default) / Noise / drumLoop.aif / receive~
Xformer.amxd	Xformer.maxhelp	Synced Stereo Gating	gating	7	MUTED (default) / Noise / drumLoop.aif / receive~
