Device	Total exposed parameters	Explicit defaults written to Preset 1	Parameters lacking explicit parameter_initial
Feedback Network	22	21	1
FilterTaps	44	44	0
Flange-o-tron	11	5	6
Fragulator	9	9	0
Generic Effect	10	9	1
Granular-to-go	13	12	1
Harmonic Filter	51	50	1
Mangle Filter	8	8	0
Max AutoFilter	14	14	0
Max AutoRingMod	10	10	0
Max CombFilterMulti	16	16	0
Max Compressor	23	23	0
Max CutKiller	41	26	15
Max DelayMultiBand	19	19	0
Max DelayTaps	19	19	0
Max DopplerPan	10	9	1
Max EffectMatrix	15	14	1
Max EnvFollower	8	8	0
Max EqGraphic31	34	33	1
Max EqParametric4	23	23	0
Max EqShelving	9	9	0
Max SignalAnalyzer	2	2	0
Max SpectralDelay	10	8	2
Max SpectralHarm	17	17	0
Microtuner	18	15	3
Mono Vocoder	14	13	1
MonsterCrunch	11	11	0
Multi Harmonizer	23	22	1
Nebula	5	5	0
Noyzckippr	11	11	0
Pendulum	10	10	0
Phase Scope	0	0	0
Phone Filter	4	4	0
Pitch & Echo	19	19	0
Pitch & Vibrato	14	14	0
Pitch Tracker	16	15	1
PitchCorrect Player	21	15	6
PitchTime Player	25	16	9
PluggoFuzz	12	12	0
Poly Vocoder	20	18	2
Raindrops	8	8	0
Rye	8	8	0
Simple Pitch Shifter	6	6	0
Space Echo	13	12	1
Spectral Filter	3	2	1
Speed Shifter	8	8	0
SquirrelParade	36	19	17
Stereo Adjuster	1	1	0
Stutterer	16	9	7
Swirl	10	10	0
Synced Player	30	19	11
Tapped Delay	10	6	4
Tremellow	13	4	9
Vibrato Cauldron	7	7	0
Warpoon	15	15	0
WasteBand	16	16	0
Waveshaper	5	1	4
Wheat	17	17	0
Xformer	8	8	0
