Device	Exposed parameters	Source defaults written	Wet controls forced max	No explicit initial	Preset 1 text
Feedback Network	22	20	1	1	modIn-3 0., modIn-1 0., RandSmooth 1., wet/dry 1., FB-level 0., modIn-4 0., AFB-Sens 62.992001, GL-Delay 58.928001, GL-Freq 47.751999, modIn-5 0., AFB-Rate 94.487999, modIn-2 0., AutoNetRate 87.375999, Auto-FB 1., InLevelMinMax 0, GL-Q 35.560001, AFB-Clip 71.120003, FB-Gain 0, AutoGainRate 99.568001, AutoRandNetwork 1., RandInLevels 1.
FilterTaps	44	43	1	0	delay_rel3 288., [40] 1530., pitch5 15., global_delay_scale 10., delay_rel4 7., [5] 43.991199, pitch3 10., pitch6 3., gain5 127., global_q 0.39, pan4 -38., pitch4 0., gain3 127., pan6 -74., fb_gain 0., [35] 2879.42407, gain[5] 127., pan3 46., [23] 127., [2] 19.25943, [18] 19., dry/wet 100., [32] 22.811558, delay_rel6 1., [26] 213.411331, [38] 153., global_freq_scale 80., [14] 0., [27] 720.856018, [3] 455.908813, [34] 5000., pan2 37., gain2 127., [21] 11.148361, [1] 3722.59595, pan5 81., pitch2 8., global_gain 52., [22] 887.822388, delay_rel5 34., delay_rel2 106., [15] 11.547909, [30] 0., gain6 127.
Flange-o-tron	11	5	1	5	step_len 13, wet/dry 100., flange_UI 1, steps 16, tempo 0., range_slider 0
Fragulator	9	8	1	0	"buffer size" 30., direction 0., "drop out" 0., "amp variation" 0., declick 0., repetition 0., "Playback Speed" 3.8, feedback 0., wet_dry 100.
Generic Effect	10	9	1	0	feedback_gain 0., ff_mod_depth 0.95, wet/dry 100., fb_mod_depth 0., feedback 1., ff_mod_freq 3., fb_mod_freq 1., feedforward 3, Feedforward 1., input_gain 0.
Granular-to-go	13	11	1	1	playback_speed 0.8, grain_range 1568., range 127., active_left 1., grain_size 491., playback_speed_range 0.4, wet_dry 100., pulse_range 96., active_right 1., pulse_offset 5., min_amp 0., density 100.
Harmonic Filter	51	50	0	1	live.toggle 1., mute5 0., mute4 0., seq11 0., seq22 0., mute1 0., "slew rate" 292., seq6 0., seq17 0., "harmonic limit" 4., "change bug" 0., "mult bug" 1., seq1 1., seq12 0., seq23 0., seq7 0., seq18 0., seq2 0., "frequency adder" -38., seq13 0., "frequency multiplier" 1., seq25 0., seq24 0., level 0., seq8 0., seq19 0., resonance 46., seq3 0., seq14 0., mute2 0., seq9 0., seq20 0., "diffussion rate" 1.34, "damp rate" 0.24, seq4 0., rnd_range 54.95636, rand_all_period 9999, seq15 0., rand_all_switch 1., rand_cell_switch 1., rand_period 181., mute3 0., cell_update 269, cell_update_switch 1., "base frequency" 90., seq10 0., seq21 0., seq5 0., "change rate" 2., seq16 0.
Mangle Filter	8	7	1	0	wet_dry 100., delay_range 1., scalling_mode 0., input_curve 2., delay 0, drive 4.32, averaging_mode 2., factor 100.
Max AutoFilter	14	13	1	0	FilterFreqOffset 50, EnvInput 0, EnvSharpness 0., EnvSmooth 50, FilterType 4., Dry/Wet 100., EnvInterval 50, FilterGain 0, FilterClear 0, EnvMode 0., FilterQ 1., FilterFreqRange 1000, EnvFollower 0, Gain 0.
Max AutoRingMod	10	9	1	0	EnvInput 0, EnvSharpness 0., EnvSmooth 50, Dry/Wet 100., EnvInterval 50, ModRange 1000, EnvMode 0., ModOffset 0, EnvFollower 0, Gain 0.
Max CombFilterMulti	16	15	1	0	Detune1 0, Pitch4 72, Dry/Wet 100., Detune5 0, Pitch1 36, Input 50, Feedfwd 50, Detune4 0, Pitch2 48, Feedback 50, Detune3 0, Pitch5 84, Tremolo 0, Gain 0, Detune2 0, Pitch3 60
Max Compressor	23	23	0	0	Mode 0, LevelDetectGating -36, Range 20, SideChainFilter 0., ProgressiveRelease 50, AGC 1, Delay 23, Preset 0, ChannelCoupling 0, Release 111, Meters 0., Gain 0., Attack 133, DownExpandThresh -45, DownExpandEnable 1, DualBand 0., Ratio 100, Limiter 1, SmoothGain 65, MetersRate 25, Bypass 0., LevelDetectFreeze -54, Thresh -10
Max CutKiller	41	25	1	15	Weight[3] 5., Interval[2] 10., Weight[6] 1., Weight[4] 1., Interval[7] 9., FadeCurve 0., Interval[1] 13., Weight[8] 1., Weight[7] 1., ChangeProb 75., Interval[8] 8., Interval[3] 7., Interval[5] 15., Dry/wet 100., RestProb 25., Interval[4] 4., FadeIn 1., OnOff 1., Weight[1] 2., Interval[6] 12., Gain 0., Weight[5] 1., Reset 0., FadeOut 1, Count 2., Weight[2] 3.
Max DelayMultiBand	19	19	0	0	LowXFreq 1000, EffectGain 0., HighDelL 0, MidFB 0, LowEnable 1., LowDelR 0, HighEnable 1., HighGain 0., MidDelR 0, HighXFreq 4000, MidGain 0., HighDelR 0, MidDelL 0, LowDelL 0, HighFB 0, MidEnable 1., DirectGain -70., Lowgain 0., LowFB 0
Max DelayTaps	19	18	1	0	LevelsDistr 0., Pans 0., PansMax 50, DelaysMin 0, LevelsShape 0., PansDistr 0., Levels 0., Delays 0., PansMin -50, Dry/Wet 100., DelaysShape 0., MasterGain 0., LevelsMax 100, Feedback 50, Taps 8, DelaysDistr 0., LevelsMin 0., DelaysMax 1000, PansShape 0.
Max DopplerPan	10	9	0	1	PositionMode 0, PositionFree 50, RateUnit 13., RateRand 0, Output 0., DistanceMax 25, Source -70., DistanceMin 5, RateMult 8.
Max EffectMatrix	15	14	0	1	InputGain 0., ShiftGain 0., ShiftL 0, OutputGain 0., DelayR 0, DelayL 0, CombFeedback 50, Matrix 0, CombPitchL 60, DelayFeedback 0, DelayGain 0., CombPitchR 60, CombGain 0., ShiftR 0
Max EnvFollower	8	8	0	0	Follower 1, Smoothing 50, Oscill -12, Sharpness 0., Input 0, Mode 0., Interval 50, Source 0
Max EqGraphic31	34	33	0	1	Band[9] 0, Band[4] 0, GlobalQ 1., Band[28] 0, Band[23] 0, Band[18] 0, Band[13] 0, Band[8] 0, Band[3] 0, Band[27] 0, Band[22] 0, Band[17] 0, Band[12] 0, MasterGain 0., Band[1] 0, Band[7] 0, Band[2] 0, Band[31] 0, Band[26] 0, Band[21] 0, Band[16] 0, Band[11] 0, Band[6] 0, Band[30] 0, Band[25] 0, Band[20] 0, Band[15] 0, Band[10] 0, Band[5] 0, Band[29] 0, Band[24] 0, Band[19] 0, Band[14] 0
Max EqParametric4	23	23	0	0	Gain[4] 0, Q[3] 1., Active[2] 1, Freq[1] 100, Freq[4] 5000, Type[3] 4., Gain[2] 0, Q[1] 1., MasterGain 0., Q[4] 1., Active[3] 1, Freq[2] 500, Type[1] 5., FilterClear 0, Type[4] 6., Gain[3] 0, Q[2] 1., Active[1] 1, Active[4] 1, Freq[3] 1000, Reset 0, Type[2] 4., Gain[1] 0
Max EqShelving	9	9	0	0	LowXFreq 1000, LowEnable 1., MasterGain 0., HighEnable 1., HighGain 0., HighXFreq 4000, MidGain 0., MidEnable 1., Lowgain 0.
Max SignalAnalyzer	2	2	0	0	Interval 10, Sense 10
Max SpectralDelay	10	7	1	2	Delays 0.464844, Dry/Wet 100., Feedbacks 0.710938, DelayRange 2000., FeedbackRandStep 10, DelayRandStep 10, FeedbackRange 50., Gain 0.
Max SpectralHarm	17	16	1	0	ModeR 0., ShiftL 0., DelayR 0., Dry/Wet 100., BeatL 0., DelayL 0., DetuneR 0, PanR 50, TranspL 0., BeatR 0., Feedback 0., DetuneL 0, PanL -50, Gain 0., TranspR 0., ModeL 0., ShiftR 0
Microtuner	18	14	1	3	AmbienceThreshold 0, SnapToGrid 1, Quality 0., Latency 1, CorrectionAmount 100, Tonic 11., CorrectionThreshold 0, Points 13., GridResol 100., Pattern 0., Gain 0., Dry/Wet 100., SibilanceThreshold 100, Scale 1200., Storage "{'pattrstorage': {'name': 'u394000814', 'slots': {}}}"
Mono Vocoder	14	12	1	1	AmbienceThreshold 0, Bus 0, Quality 0., Detune 0, Latency 1, CorrectionAmount 100, Glide 50, CorrectionThreshold 0, Pitch 60., Gain 0., Midi 0., Dry/Wet 100., SibilanceThreshold 100
