Help file	Device	receive~ name	Direct parameters	Randomized parameters	Wet/default controls	Fixed input -3 dB	Fixed output 0 dB	Excluded from randomization	Warnings
Feedback Network.maxhelp	Feedback Network	AMXD_FeedbackNetwork	21	20	wet/dry			wet/dry	inferred_ranges=FB-level,AFB-Sens,GL-Delay,GL-Freq,AFB-Rate,AutoNetRate,GL-Q,AFB-Clip,FB-Gain,AutoGainRate
FilterTaps.maxhelp	FilterTaps	AMXD_FilterTaps	44	42	dry/wet		global_gain	dry/wet|global_gain	inferred_ranges=pitch5,pitch3,pitch6,pan4,pitch4,pan6,pan3,[14],pan2,pan5,pitch2,[30]
Flange-o-tron.maxhelp	Flange-o-tron	AMXD_Flangeotron	9	8	wet/dry			wet/dry	
Fragulator.maxhelp	Fragulator	AMXD_Fragulator	9	8	wet_dry			wet_dry	
Generic Effect.maxhelp	Generic Effect	AMXD_GenericEffect	10	8	wet/dry	input_gain		wet/dry|input_gain	
Granular-to-go.maxhelp	Granular-to-go	AMXD_Granulartogo	13	12	wet_dry			wet_dry	
Harmonic Filter.maxhelp	Harmonic Filter	AMXD_HarmonicFilter	51	50			level	level	no_explicit_wet_control|inferred_ranges=rnd_range
Mangle Filter.maxhelp	Mangle Filter	AMXD_MangleFilter	8	7	wet_dry			wet_dry	
Max AutoFilter.maxhelp	Max AutoFilter	AMXD_autofilter	14	11	Dry/Wet	EnvInput	Gain	EnvInput|Dry/Wet|Gain	
Max AutoRingMod.maxhelp	Max AutoRingMod	AMXD_autoringmod	10	7	Dry/Wet	EnvInput	Gain	EnvInput|Dry/Wet|Gain	
Max CombFilterMulti.maxhelp	Max CombFilterMulti	AMXD_combfiltermulti	16	13	Dry/Wet	Input	Gain	Dry/Wet|Input|Gain	
Max Compressor.maxhelp	Max Compressor	AMXD_compressor	23	22			Gain	Gain	no_explicit_wet_control
Max CutKiller.maxhelp	Max CutKiller	AMXD_cutkiller	41	39	Dry/wet		Gain	Dry/wet|Gain	
Max DelayMultiBand.maxhelp	Max DelayMultiBand	AMXD_delaymultiband	19	17	DirectGain=minimum		EffectGain	EffectGain|DirectGain	
Max DelayTaps.maxhelp	Max DelayTaps	AMXD_delaytaps	16	14	Dry/Wet		MasterGain	Dry/Wet|MasterGain	
Max DopplerPan.maxhelp	Max DopplerPan	AMXD_dopplerpan	10	8		Source	Output	Output|Source	no_explicit_wet_control
